Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TA","Live animals","33","Canada","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","7200","","Official data"
"TA","Live animals","33","Canada","5922","Export Value","1057","Chickens","2017","2017","1000 US$","19362","","Official data"
"TA","Live animals","39","Chad","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","234","R","Estimated data using trading partners database"
"TA","Live animals","39","Chad","5622","Import Value","1057","Chickens","2017","2017","1000 US$","292","R","Estimated data using trading partners database"
"TA","Live animals","40","Chile","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","868","Im","FAO data based on imputation methodology"
"TA","Live animals","40","Chile","5622","Import Value","1057","Chickens","2017","2017","1000 US$","5480","","Official data"
"TA","Live animals","351","China","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","4467","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TA","Live animals","351","China","5622","Import Value","1057","Chickens","2017","2017","1000 US$","39291","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TA","Live animals","351","China","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","427","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TA","Live animals","351","China","5922","Export Value","1057","Chickens","2017","2017","1000 US$","2234","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TA","Live animals","44","Colombia","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","820","","Official data"
"TA","Live animals","44","Colombia","5622","Import Value","1057","Chickens","2017","2017","1000 US$","12113","","Official data"
"TA","Live animals","44","Colombia","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","370","","Official data"
"TA","Live animals","44","Colombia","5922","Export Value","1057","Chickens","2017","2017","1000 US$","738","","Official data"
"TA","Live animals","45","Comoros","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","66","R","Estimated data using trading partners database"
"TA","Live animals","45","Comoros","5622","Import Value","1057","Chickens","2017","2017","1000 US$","63","R","Estimated data using trading partners database"
"TA","Live animals","46","Congo","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","219","","Official data"
"TA","Live animals","46","Congo","5622","Import Value","1057","Chickens","2017","2017","1000 US$","125","","Official data"
"TA","Live animals","47","Cook Islands","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","0","*","Unofficial figure"
"TA","Live animals","47","Cook Islands","5622","Import Value","1057","Chickens","2017","2017","1000 US$","2","*","Unofficial figure"
